Epoch: [0][660/9537], lr: 0.01000	Time 0.230 (0.239)	Data 0.000 (0.005)	Loss 6.3409 (6.2120)	Prec@1 0.000 (1.059)	Prec@5 0.000 (5.446)
Epoch: [0][680/9537], lr: 0.01000	Time 0.230 (0.239)	Data 0.000 (0.005)	Loss 3.9583 (6.1788)	Prec@1 0.000 (1.028)	Prec@5 0.000 (5.286)
Epoch: [0][700/9537], lr: 0.01000	Time 0.229 (0.239)	Data 0.000 (0.005)	Loss 3.3164 (6.1375)	Prec@1 0.000 (1.141)	Prec@5 100.000 (5.421)
Epoch: [0][720/9537], lr: 0.01000	Time 0.230 (0.238)	Data 0.000 (0.005)	Loss 5.7698 (6.0960)	Prec@1 0.000 (1.110)	Prec@5 0.000 (5.409)
Epoch: [0][740/9537], lr: 0.01000	Time 0.231 (0.238)	Data 0.000 (0.004)	Loss 5.7462 (6.0570)	Prec@1 0.000 (1.215)	Prec@5 0.000 (5.533)
Epoch: [0][760/9537], lr: 0.01000	Time 0.230 (0.238)	Data 0.000 (0.004)	Loss 5.7281 (6.0288)	Prec@1 0.000 (1.183)	Prec@5 0.000 (5.519)
Epoch: [0][780/9537], lr: 0.01000	Time 0.230 (0.238)	Data 0.000 (0.004)	Loss 4.5111 (5.9972)	Prec@1 0.000 (1.152)	Prec@5 0.000 (5.378)
Epoch: [0][800/9537], lr: 0.01000	Time 0.231 (0.238)	Data 0.000 (0.004)	Loss 3.3984 (5.9709)	Prec@1 100.000 (1.248)	Prec@5 100.000 (5.368)
Epoch: [0][820/9537], lr: 0.01000	Time 0.230 (0.237)	Data 0.000 (0.004)	Loss 6.4241 (5.9433)	Prec@1 0.000 (1.218)	Prec@5 0.000 (5.359)
Epoch: [0][840/9537], lr: 0.01000	Time 0.230 (0.237)	Data 0.000 (0.004)	Loss 5.4789 (5.9217)	Prec@1 0.000 (1.189)	Prec@5 0.000 (5.232)
